Name of Publication,Publication Link,Date of Publish,CU Author,Pureportal Profile Link
The effect of exercise intensity on cognitive performance during short duration treadmill running,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-exercise-intensity-on-cognitive-performance-during--2,02-Jul-16,"['Tallis, J.', 'Clarke, N. D.', 'Guimarães-Ferreira, L.', 'Duncan, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/neil-clarke', 'https://pureportal.coventry.ac.uk/en/persons/lucas-guimaraes-ferreira-2', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
The effect of high-intensity cycling training on postural sway during standing under rested and fatigued conditions in healthy young adults,https://pureportal.coventry.ac.uk/en/publications/the-effect-of-high-intensity-cycling-training-on-postural-sway-du-2,Oct-16,"['Hill, M. W.', 'Price, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/mathew-hill', 'https://pureportal.coventry.ac.uk/en/persons/mike-price']"
,,,,
The effects of a heat acclimation protocol in persons with spinal cord injury,https://pureportal.coventry.ac.uk/en/publications/the-effects-of-a-heat-acclimation-protocol-in-persons-with-spinal-2,Dec-16,"['Price, M. J.']",['https://pureportal.coventry.ac.uk/en/persons/mike-price']
,,,,
The Health-Enhancing Efficacy of Zumba® Fitness: An 8-Week Randomised Controlled Study,https://pureportal.coventry.ac.uk/en/publications/the-health-enhancing-efficacy-of-zumba-fitness-an-8-week-randomis,2016,"['Domene, P. A.']",['https://pureportal.coventry.ac.uk/en/persons/pablo-domene']
,,,,
"The progressive role of acoustic cavitation for non-invasive therapies, contrast imaging and blood-tumor permeability enhancement",https://pureportal.coventry.ac.uk/en/publications/the-progressive-role-of-acoustic-cavitation-for-non-invasive-ther-2,2016,[],[]
,,,,
The Restoration of James Brindley’s Last Canal and the Serious Threat from 21st Century Transport Infrastructure Developments,https://pureportal.coventry.ac.uk/en/publications/the-restoration-of-james-brindleys-last-canal-and-the-serious-thr-2,2016,[],[]
,,,,
Thyroid hormone influences muscle mechanics in carp (Cyprinus carpio) independently from SERCA activity,https://pureportal.coventry.ac.uk/en/publications/thyroid-hormone-influences-muscle-mechanics-in-carp-cyprinus-carp-2,21-Sep-16,"['James, R. S.', 'Tallis, J.']","['https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis']"
,,,,
Towards the Blending of Digital and Physical Learning Contexts with a Gamified and Pervasive Approach,https://pureportal.coventry.ac.uk/en/publications/towards-the-blending-of-digital-and-physical-learning-contexts-wi-2,23-Jun-16,"['Arnab, S.', 'Duncan, M.']","['https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Ultrasound Wave Based AOPs,https://pureportal.coventry.ac.uk/en/publications/ultrasound-wave-based-aops-2,15-Sep-16,[],[]
,,,,
Use of Geosynthetics for Sustainable Drainage,https://pureportal.coventry.ac.uk/en/publications/use-of-geosynthetics-for-sustainable-drainage,30-Sep-16,"['Sañudo Fontaneda, L. A.', 'Coupe, S. J.']","['https://pureportal.coventry.ac.uk/en/persons/luis-sa%C3%B1udo-fontaneda', 'https://pureportal.coventry.ac.uk/en/persons/steve-coupe']"
,,,,
Validation of the Phillips et al GENEActiv accelerometer wrist cut-points in children aged 5-8 years old,https://pureportal.coventry.ac.uk/en/publications/validation-of-the-phillips-et-al-geneactiv-accelerometer-wrist-cu-2,Dec-16,"['Duncan, M.', 'Tallis, J.', 'Eyre, E.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis', 'https://pureportal.coventry.ac.uk/en/persons/emma-eyre']"
,,,,
Water Holding as Determinant for the Elastically Stored Energy in Protein-Based Gels,https://pureportal.coventry.ac.uk/en/publications/water-holding-as-determinant-for-the-elastically-stored-energy-in,Apr-16,"['Munialo, C. D.']",['https://pureportal.coventry.ac.uk/en/persons/claire-munialo']
,,,,
A comparison of two commercially available ELISA methods for the quantification of human plasma heat shock protein 70 during rest and exercise stress,https://pureportal.coventry.ac.uk/en/publications/a-comparison-of-two-commercially-available-elisa-methods-for-the--2,Nov-15,"['Lee, B.', 'Thake, C. D.']","['https://pureportal.coventry.ac.uk/en/persons/ben-lee', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake']"
,,,,
A Concept Map of What Helps People with HD Live with their Condition,https://pureportal.coventry.ac.uk/en/publications/a-concept-map-of-what-helps-people-with-hd-live-with-their-condit-2,29-Sep-15,[],[]
,,,,
An Evaluation of Prediction Equations for the 6 Minute Walk Test in Healthy European Adults Aged 50-85 Years,https://pureportal.coventry.ac.uk/en/publications/an-evaluation-of-prediction-equations-for-the-6-minute-walk-test--2,29-Sep-15,"['Duncan, M.']",['https://pureportal.coventry.ac.uk/en/persons/michael-duncan']
,,,,
An overview on leucine metabolites alpha-ketoisocaproate (KIC) and beta-hydroxi-beta-methyl butyrate (HMB) in skeletal muscle function and sports performance,https://pureportal.coventry.ac.uk/en/publications/an-overview-on-leucine-metabolites-alpha-ketoisocaproate-kic-and-,01-Apr-15,"['Guimarães Ferreira, L.']",['https://pureportal.coventry.ac.uk/en/persons/lucas-guimaraes-ferreira-2']
,,,,
"A randomised, independent groups study investigating the sympathetic nervous system responses to two manual therapy treatments in patients with LBP",https://pureportal.coventry.ac.uk/en/publications/a-randomised-independent-groups-study-investigating-the-sympathet-2,2015,[],[]
,,,,
Aspergillus nidulans Upf1: putative role of conserved active sites in ribosome recycling and 3′ end mRNA tagging,https://pureportal.coventry.ac.uk/en/publications/aspergillus-nidulans-upf1-putative-role-of-conserved-active-sites,16-Jun-15,"['Morozov, I.']",['https://pureportal.coventry.ac.uk/en/persons/igor-morozov']
,,,,
Barriers to access: factors limiting full participation of children with albinism at school in northern Malawi: Part 1,https://pureportal.coventry.ac.uk/en/publications/barriers-to-access-factors-limiting-full-participation-of-childre-4,2015,"['Lund, P.']",['https://pureportal.coventry.ac.uk/en/persons/patricia-lund']
,,,,
Barriers to access: factors limiting full participation of children with albinism at school in northern Malawi: Part 2,https://pureportal.coventry.ac.uk/en/publications/barriers-to-access-factors-limiting-full-participation-of-childre-3,2015,"['Lund, P.']",['https://pureportal.coventry.ac.uk/en/persons/patricia-lund']
,,,,
Barriers to access: why are some visually impaired young people with albinism in Malawi not attending school? Overview & guidelines,https://pureportal.coventry.ac.uk/en/publications/barriers-to-access-why-are-some-visually-impaired-young-people-wi-2,2015,"['Lund, P.']",['https://pureportal.coventry.ac.uk/en/persons/patricia-lund']
,,,,
Carbohydrate and caffeine mouth rinses do not affect maximum strength and muscular endurance performance,https://pureportal.coventry.ac.uk/en/publications/carbohydrate-and-caffeine-mouth-rinses-do-not-affect-maximum-stre-2,01-Oct-15,"['Clarke, N.']",['https://pureportal.coventry.ac.uk/en/persons/neil-clarke']
,,,,
Central and peripheral fatigue following non-exhaustive and exhaustive exercise of disparate metabolic demands.,https://pureportal.coventry.ac.uk/en/publications/central-and-peripheral-fatigue-following-non-exhaustive-and-exhau,2015,[],[]
,,,,
Clearance of persistent hepatitis C virus infection in humanized mice using a claudin-1-targeting monoclonal antibody,https://pureportal.coventry.ac.uk/en/publications/clearance-of-persistent-hepatitis-c-virus-infection-in-humanized--2,01-May-15,[],[]
,,,,
Coincidence Anticipation Timing Performance during an Acute Bout of Brisk Walking in Older Adults: Effect of Stimulus Speed,https://pureportal.coventry.ac.uk/en/publications/coincidence-anticipation-timing-performance-during-an-acute-bout--2,31-Aug-15,"['Duncan, M. J.', 'Stanley, M.', 'Price, M. J.', 'Leddington Wright, S.']","['https://pureportal.coventry.ac.uk/en/persons/michael-duncan', 'https://pureportal.coventry.ac.uk/en/persons/michelle-evans', 'https://pureportal.coventry.ac.uk/en/persons/mike-price', 'https://pureportal.coventry.ac.uk/en/persons/sheila-leddington-wright']"
,,,,
Development of ternary squaraine-tryptamine-nitroaromatic charge-transfer complexes for potential use as colourimetric stains in gel electrophoresis. Part 1,https://pureportal.coventry.ac.uk/en/publications/development-of-ternary-squaraine-tryptamine-nitroaromatic-charge--2,2015,[],[]
,,,,
Do pervious pavements really need pervious surfaces? The concept of the macro-pervious pavement as a SuDS device,https://pureportal.coventry.ac.uk/en/publications/do-pervious-pavements-really-need-pervious-surfaces-the-concept-o-2,2015,"['Mbanaso, F. U.']",['https://pureportal.coventry.ac.uk/en/persons/fredrick-mbanaso']
,,,,
Effectiveness of pre-cooling and cooling during play on wheelchair rugby performance,https://pureportal.coventry.ac.uk/en/publications/effectiveness-of-pre-cooling-and-cooling-during-play-on-wheelchai-2,14-Sep-15,"['Price, M.']",['https://pureportal.coventry.ac.uk/en/persons/mike-price']
,,,,
Effect of a home based pulmonary rehabilitation programme on physical activity in patients with chronic obstructive pulmonary disease,https://pureportal.coventry.ac.uk/en/publications/effect-of-a-home-based-pulmonary-rehabilitation-programme-on-phys,2015,"['Horton, E.']",['https://pureportal.coventry.ac.uk/en/persons/elizabeth-horton']
,,,,
Effect of carbohydrate and caffeine ingestion on badminton performance,https://pureportal.coventry.ac.uk/en/publications/effect-of-carbohydrate-and-caffeine-ingestion-on-badminton-perfor-2,2015,"['Clarke, N.', 'Duncan, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/neil-clarke', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Environmental and school influences on physical activity in South Asian children from low socio-economic backgrounds: A qualitative study,https://pureportal.coventry.ac.uk/en/publications/environmental-and-school-influences-on-physical-activity-in-south-2,01-Sep-15,"['Eyre, E. L. J.', 'Duncan, M. J.']","['https://pureportal.coventry.ac.uk/en/persons/emma-eyre', 'https://pureportal.coventry.ac.uk/en/persons/michael-duncan']"
,,,,
Etiology of musculoskeletal injuries in amateur breakdancers,https://pureportal.coventry.ac.uk/en/publications/etiology-of-musculoskeletal-injuries-in-amateur-breakdancers-2,2015,"['Clarke, N. D.']",['https://pureportal.coventry.ac.uk/en/persons/neil-clarke']
,,,,
Evaluation of pervious and macro-pervious pavements as harvesting systems for localized landscape and horticultural irrigation,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-pervious-and-macro-pervious-pavements-as-harvesting-2,2015,"['Mbanaso, F.']",['https://pureportal.coventry.ac.uk/en/persons/fredrick-mbanaso']
,,,,
Evaluation of the effectiveness of wrapping filter drain pipes in geotextile for pollution prevention in response to relatively large oil releases,https://pureportal.coventry.ac.uk/en/publications/evaluation-of-the-effectiveness-of-wrapping-filter-drain-pipes-in-2,14-May-15,"['Mbanaso, F. U.']",['https://pureportal.coventry.ac.uk/en/persons/fredrick-mbanaso']
,,,,
Examining the utility of thresholds for aerobic fitness related to resting blood pressure and BMI in portuguese children,https://pureportal.coventry.ac.uk/en/publications/examining-the-utility-of-thresholds-for-aerobic-fitness-related-t-2,2015,"['Duncan, M. J.']",['https://pureportal.coventry.ac.uk/en/persons/michael-duncan']
,,,,
Food Security in Developed Countries(Europe and USA): Is it Insecurity and Insufficiency or Hunger and Poverty in Developed Countries?,https://pureportal.coventry.ac.uk/en/publications/food-security-in-developed-countrieseurope-and-usa-is-it-insecuri,2015,[],[]
,,,,
Food Security in Developed Countries (Europe and USA) - Is It Insecurity and Insufficiency Or Hunger and Poverty in Developed Countries?,https://pureportal.coventry.ac.uk/en/publications/food-security-in-developed-countries-europe-and-usa-is-it-insecur,21-Dec-15,[],[]
,,,,
Food Security in West Midlands(UK): Is it Insecurity and Insufficiency or Hunger and Poverty?,https://pureportal.coventry.ac.uk/en/publications/food-security-in-west-midlandsuk-is-it-insecurity-and-insufficien,2015,[],[]
,,,,
Human monocyte heat shock protein 72 responses to acute hypoxic exercise after 3 days of exercise heat acclimation,https://pureportal.coventry.ac.uk/en/publications/human-monocyte-heat-shock-protein-72-responses-to-acute-hypoxic-e-2,22-Mar-15,"['Lee, B.', 'James, R. S.', 'Thake, C. D.']","['https://pureportal.coventry.ac.uk/en/persons/ben-lee', 'https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/doug-thake']"
,,,,
Infrared heating as an adjunct to achieve vehicle occupant thermal comfort,https://pureportal.coventry.ac.uk/en/publications/infrared-heating-as-an-adjunct-to-achieve-vehicle-occupant-therma-2,14-Sep-15,"['Thake, C. D.']",['https://pureportal.coventry.ac.uk/en/persons/doug-thake']
,,,,
Insulin Resistance in Women with Polycystic Ovary Syndrome:  Optimising treatment by Implementing an in vitro Insulin Resistance Organ Culture Model,https://pureportal.coventry.ac.uk/en/publications/insulin-resistance-in-women-with-polycystic-ovary-syndrome-optimi,22-Jun-15,"['Sandhu, H.']",['https://pureportal.coventry.ac.uk/en/persons/hardip-sandhu']
,,,,
Larger lacertid lizard species produce higher than expected iliotibialis muscle power output; the evolution of muscle contractile mechanics with body size in lacertid lizards,https://pureportal.coventry.ac.uk/en/publications/larger-lacertid-lizard-species-produce-higher-than-expected-iliot-2,18-Nov-15,"['James, R. S.', 'Tallis, J.']","['https://pureportal.coventry.ac.uk/en/persons/rob-james', 'https://pureportal.coventry.ac.uk/en/persons/jason-tallis']"
,,,,
"Metabolism of Androstenone, 17β-Estradiol and Dihydrotestosterone in Primary Cultured Pig Hepatocytes and the Role of 3β-Hydroxysteroid Dehydrogenase in This Process",https://pureportal.coventry.ac.uk/en/publications/metabolism-of-androstenone-17%CE%B2-estradiol-and-dihydrotestosterone--2,15-Jan-15,[],[]
